,Dominant Topic,Keywords,Number of Documents,(Doc) Percentage
0,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",501.0,0.0443
1,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",568.0,0.0502
2,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",490.0,0.0433
3,10.0,"window, set, application, display, server, run, work, problem, screen, program",321.0,0.0284
4,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",327.0,0.0289
5,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",115.0,0.0102
6,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",597.0,0.0528
7,25.0,"image, software, include, version, program, file, system, package, graphic, format",253.0,0.0224
8,0.0,"gun, law, state, crime, weapon, case, people, firearm, police, kill",155.0,0.0137
9,13.0,"question, exist, claim, reason, true, evidence, argument, make, atheist, science",268.0,0.0237
10,11.0,"space, launch, system, project, satellite, year, mission, earth, technology, orbit",583.0,0.0515
11,2.0,"year, good, run, hit, win, game, lose, player, baseball, team",469.0,0.0415
12,14.0,"people, thing, make, good, bad, put, write, happen, lot, real",470.0,0.0415
13,6.0,"team, game, play, player, line, season, point, goal, win, year",332.0,0.0293
14,17.0,"key, encryption, system, government, bit, chip, public, phone, security, technology",244.0,0.0216
15,16.0,"write, article, line, organization, host, hear, reply, nntp_posting, guess, ago",216.0,0.0191
16,11.0,"space, launch, system, project, satellite, year, mission, earth, technology, orbit",466.0,0.0412
17,0.0,"gun, law, state, crime, weapon, case, people, firearm, police, kill",470.0,0.0415
18,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",745.0,0.0658
19,11.0,"space, launch, system, project, satellite, year, mission, earth, technology, orbit",1068.0,0.0944
20,1.0,"word, church, christian, people, religion, love, sin, man, law, day",463.0,0.0409
21,5.0,"high, large, number, low, rate, level, small, report, difference, water",929.0,0.0821
22,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",475.0,0.042
23,3.0,"state, israeli, people, write, give, land, country, live, question, peace",158.0,0.014
24,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",141.0,0.0125
25,13.0,"question, exist, claim, reason, true, evidence, argument, make, atheist, science",490.0,0.0433
26,9.0,"make, work, government, money, year, pay, job, support, people, time",,
27,14.0,"people, thing, make, good, bad, put, write, happen, lot, real",,
28,6.0,"team, game, play, player, line, season, point, goal, win, year",,
29,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",,
30,20.0,"study, doctor, food, effect, problem, patient, eat, day, treatment, disease",,
31,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
32,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
33,20.0,"study, doctor, food, effect, problem, patient, eat, day, treatment, disease",,
34,5.0,"high, large, number, low, rate, level, small, report, difference, water",,
35,1.0,"word, church, christian, people, religion, love, sin, man, law, day",,
36,9.0,"make, work, government, money, year, pay, job, support, people, time",,
37,25.0,"image, software, include, version, program, file, system, package, graphic, format",,
38,11.0,"space, launch, system, project, satellite, year, mission, earth, technology, orbit",,
39,6.0,"team, game, play, player, line, season, point, goal, win, year",,
40,6.0,"team, game, play, player, line, season, point, goal, win, year",,
41,4.0,"people, system, write, man, person, moral, human, life, opinion, society",,
42,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
43,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
44,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
45,2.0,"year, good, run, hit, win, game, lose, player, baseball, team",,
46,10.0,"window, set, application, display, server, run, work, problem, screen, program",,
47,20.0,"study, doctor, food, effect, problem, patient, eat, day, treatment, disease",,
48,0.0,"gun, law, state, crime, weapon, case, people, firearm, police, kill",,
49,1.0,"word, church, christian, people, religion, love, sin, man, law, day",,
50,1.0,"word, church, christian, people, religion, love, sin, man, law, day",,
51,9.0,"make, work, government, money, year, pay, job, support, people, time",,
52,20.0,"study, doctor, food, effect, problem, patient, eat, day, treatment, disease",,
53,17.0,"key, encryption, system, government, bit, chip, public, phone, security, technology",,
54,9.0,"make, work, government, money, year, pay, job, support, people, time",,
55,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
56,2.0,"year, good, run, hit, win, game, lose, player, baseball, team",,
57,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
58,22.0,"post, mail, send, group, list, information, address, internet, email, message",,
59,9.0,"make, work, government, money, year, pay, job, support, people, time",,
60,20.0,"study, doctor, food, effect, problem, patient, eat, day, treatment, disease",,
61,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
62,13.0,"question, exist, claim, reason, true, evidence, argument, make, atheist, science",,
63,1.0,"word, church, christian, people, religion, love, sin, man, law, day",,
64,0.0,"gun, law, state, crime, weapon, case, people, firearm, police, kill",,
65,13.0,"question, exist, claim, reason, true, evidence, argument, make, atheist, science",,
66,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
67,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
68,22.0,"post, mail, send, group, list, information, address, internet, email, message",,
69,23.0,"time, find, point, problem, book, give, work, call, line, read",,
70,4.0,"people, system, write, man, person, moral, human, life, opinion, society",,
71,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
72,2.0,"year, good, run, hit, win, game, lose, player, baseball, team",,
73,4.0,"people, system, write, man, person, moral, human, life, opinion, society",,
74,10.0,"window, set, application, display, server, run, work, problem, screen, program",,
75,17.0,"key, encryption, system, government, bit, chip, public, phone, security, technology",,
76,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
77,14.0,"people, thing, make, good, bad, put, write, happen, lot, real",,
78,17.0,"key, encryption, system, government, bit, chip, public, phone, security, technology",,
79,10.0,"window, set, application, display, server, run, work, problem, screen, program",,
80,10.0,"window, set, application, display, server, run, work, problem, screen, program",,
81,13.0,"question, exist, claim, reason, true, evidence, argument, make, atheist, science",,
82,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
83,20.0,"study, doctor, food, effect, problem, patient, eat, day, treatment, disease",,
84,1.0,"word, church, christian, people, religion, love, sin, man, law, day",,
85,22.0,"post, mail, send, group, list, information, address, internet, email, message",,
86,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
87,20.0,"study, doctor, food, effect, problem, patient, eat, day, treatment, disease",,
88,1.0,"word, church, christian, people, religion, love, sin, man, law, day",,
89,11.0,"space, launch, system, project, satellite, year, mission, earth, technology, orbit",,
90,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
91,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
92,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",,
93,1.0,"word, church, christian, people, religion, love, sin, man, law, day",,
94,22.0,"post, mail, send, group, list, information, address, internet, email, message",,
95,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",,
96,6.0,"team, game, play, player, line, season, point, goal, win, year",,
97,24.0,"file, line, program, read, copy, change, entry, number, write, follow",,
98,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
99,11.0,"space, launch, system, project, satellite, year, mission, earth, technology, orbit",,
100,0.0,"gun, law, state, crime, weapon, case, people, firearm, police, kill",,
101,25.0,"image, software, include, version, program, file, system, package, graphic, format",,
102,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
103,0.0,"gun, law, state, crime, weapon, case, people, firearm, police, kill",,
104,6.0,"team, game, play, player, line, season, point, goal, win, year",,
105,1.0,"word, church, christian, people, religion, love, sin, man, law, day",,
106,1.0,"word, church, christian, people, religion, love, sin, man, law, day",,
107,2.0,"year, good, run, hit, win, game, lose, player, baseball, team",,
108,16.0,"write, article, line, organization, host, hear, reply, nntp_posting, guess, ago",,
109,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",,
110,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",,
111,10.0,"window, set, application, display, server, run, work, problem, screen, program",,
112,0.0,"gun, law, state, crime, weapon, case, people, firearm, police, kill",,
113,14.0,"people, thing, make, good, bad, put, write, happen, lot, real",,
114,25.0,"image, software, include, version, program, file, system, package, graphic, format",,
115,7.0,"people, start, time, day, leave, happen, fire, hear, child, woman",,
116,16.0,"write, article, line, organization, host, hear, reply, nntp_posting, guess, ago",,
117,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
118,25.0,"image, software, include, version, program, file, system, package, graphic, format",,
119,10.0,"window, set, application, display, server, run, work, problem, screen, program",,
120,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",,
121,6.0,"team, game, play, player, line, season, point, goal, win, year",,
122,1.0,"word, church, christian, people, religion, love, sin, man, law, day",,
123,0.0,"gun, law, state, crime, weapon, case, people, firearm, police, kill",,
124,13.0,"question, exist, claim, reason, true, evidence, argument, make, atheist, science",,
125,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
126,9.0,"make, work, government, money, year, pay, job, support, people, time",,
127,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",,
128,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
129,10.0,"window, set, application, display, server, run, work, problem, screen, program",,
130,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
131,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
132,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
133,25.0,"image, software, include, version, program, file, system, package, graphic, format",,
134,8.0,"ax, line, host, nntp_posting, reply, _, part, keyword, computer_science, ad",,
135,2.0,"year, good, run, hit, win, game, lose, player, baseball, team",,
136,25.0,"image, software, include, version, program, file, system, package, graphic, format",,
137,22.0,"post, mail, send, group, list, information, address, internet, email, message",,
138,6.0,"team, game, play, player, line, season, point, goal, win, year",,
139,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
140,24.0,"file, line, program, read, copy, change, entry, number, write, follow",,
141,13.0,"question, exist, claim, reason, true, evidence, argument, make, atheist, science",,
142,24.0,"file, line, program, read, copy, change, entry, number, write, follow",,
143,9.0,"make, work, government, money, year, pay, job, support, people, time",,
144,8.0,"ax, line, host, nntp_posting, reply, _, part, keyword, computer_science, ad",,
145,6.0,"team, game, play, player, line, season, point, goal, win, year",,
146,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",,
147,10.0,"window, set, application, display, server, run, work, problem, screen, program",,
148,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
149,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
150,15.0,"armenian, people, turkish, history, kill, government, war, world, force, german",,
151,6.0,"team, game, play, player, line, season, point, goal, win, year",,
152,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
153,17.0,"key, encryption, system, government, bit, chip, public, phone, security, technology",,
154,24.0,"file, line, program, read, copy, change, entry, number, write, follow",,
155,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",,
156,16.0,"write, article, line, organization, host, hear, reply, nntp_posting, guess, ago",,
157,6.0,"team, game, play, player, line, season, point, goal, win, year",,
158,10.0,"window, set, application, display, server, run, work, problem, screen, program",,
159,9.0,"make, work, government, money, year, pay, job, support, people, time",,
160,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
161,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
162,20.0,"study, doctor, food, effect, problem, patient, eat, day, treatment, disease",,
163,17.0,"key, encryption, system, government, bit, chip, public, phone, security, technology",,
164,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
165,17.0,"key, encryption, system, government, bit, chip, public, phone, security, technology",,
166,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",,
167,2.0,"year, good, run, hit, win, game, lose, player, baseball, team",,
168,22.0,"post, mail, send, group, list, information, address, internet, email, message",,
169,19.0,"card, problem, system, driver, run, bit, memory, work, speed, machine",,
170,14.0,"people, thing, make, good, bad, put, write, happen, lot, real",,
171,18.0,"drive, line, buy, price, sell, sale, offer, cheap, include, disk",,
172,12.0,"line, power, work, current, ground, wire, switch, make, cable, signal",,
173,10.0,"window, set, application, display, server, run, work, problem, screen, program",,
174,17.0,"key, encryption, system, government, bit, chip, public, phone, security, technology",,
175,17.0,"key, encryption, system, government, bit, chip, public, phone, security, technology",,
176,6.0,"team, game, play, player, line, season, point, goal, win, year",,
177,17.0,"key, encryption, system, government, bit, chip, public, phone, security, technology",,
178,13.0,"question, exist, claim, reason, true, evidence, argument, make, atheist, science",,
179,10.0,"window, set, application, display, server, run, work, problem, screen, program",,
180,22.0,"post, mail, send, group, list, information, address, internet, email, message",,
181,16.0,"write, article, line, organization, host, hear, reply, nntp_posting, guess, ago",,
182,22.0,"post, mail, send, group, list, information, address, internet, email, message",,
183,6.0,"team, game, play, player, line, season, point, goal, win, year",,
184,6.0,"team, game, play, player, line, season, point, goal, win, year",,
185,2.0,"year, good, run, hit, win, game, lose, player, baseball, team",,
186,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
187,11.0,"space, launch, system, project, satellite, year, mission, earth, technology, orbit",,
188,4.0,"people, system, write, man, person, moral, human, life, opinion, society",,
189,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
190,0.0,"gun, law, state, crime, weapon, case, people, firearm, police, kill",,
191,16.0,"write, article, line, organization, host, hear, reply, nntp_posting, guess, ago",,
192,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
193,6.0,"team, game, play, player, line, season, point, goal, win, year",,
194,25.0,"image, software, include, version, program, file, system, package, graphic, format",,
195,13.0,"question, exist, claim, reason, true, evidence, argument, make, atheist, science",,
196,0.0,"gun, law, state, crime, weapon, case, people, firearm, police, kill",,
197,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
198,0.0,"gun, law, state, crime, weapon, case, people, firearm, police, kill",,
199,4.0,"people, system, write, man, person, moral, human, life, opinion, society",,
200,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
201,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
202,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
203,21.0,"car, bike, ride, engine, road, turn, speed, front, mile, drive",,
204,11.0,"space, launch, system, project, satellite, year, mission, earth, technology, orbit",,
