class,cap-shape,cap-color,gill-color,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,x,n,k,p,w,o,p,k,s,u
e,x,y,k,p,w,o,p,n,n,g
e,b,w,n,p,w,o,p,n,n,m
p,x,w,n,p,w,o,p,k,s,u
e,x,g,k,p,w,o,e,n,a,g
e,x,y,n,p,w,o,p,k,n,g
e,b,w,g,p,w,o,p,k,n,m
e,b,w,n,p,w,o,p,n,s,m
p,x,w,p,p,w,o,p,k,v,g
e,b,y,g,p,w,o,p,k,s,m
e,x,y,g,p,w,o,p,n,n,g
e,x,y,n,p,w,o,p,k,s,m
e,b,y,w,p,w,o,p,n,s,g
p,x,w,k,p,w,o,p,n,v,u
e,x,n,n,p,w,o,e,k,a,g
e,s,g,k,p,w,o,p,n,y,u
e,f,w,k,p,w,o,e,n,a,g
p,x,n,n,p,w,o,p,k,s,g
p,x,w,n,p,w,o,p,n,s,u
p,x,n,k,p,w,o,p,n,s,u
e,b,y,k,p,w,o,p,n,s,m
p,x,n,n,p,w,o,p,n,v,g
e,b,y,k,p,w,o,p,n,s,m
e,b,w,w,p,w,o,p,n,n,m
e,b,w,g,p,w,o,p,k,s,m
p,f,w,n,p,w,o,p,n,v,g
e,x,y,n,p,w,o,p,n,n,m
e,x,w,w,p,w,o,p,n,n,m
e,f,n,k,p,w,o,p,k,y,u
e,x,y,n,p,w,o,p,n,v,d
e,b,y,g,p,w,o,p,n,n,m
p,x,w,k,p,w,o,p,n,s,u
e,x,y,n,p,w,o,p,n,n,m
e,x,n,p,p,w,o,p,n,y,p
e,b,y,n,p,w,o,p,n,s,m
e,x,y,w,p,w,o,p,n,v,d
e,s,g,k,p,w,o,p,k,v,u
p,x,n,w,p,w,o,p,n,s,u
e,x,y,p,p,w,o,p,n,v,d
e,b,y,k,p,w,o,p,k,s,m
e,b,y,n,p,w,o,p,n,s,g
e,x,y,n,p,w,o,p,k,y,p
e,x,n,g,p,w,o,p,k,y,u
p,x,w,p,p,w,o,p,n,v,g
