,Dominant Topic,Keywords,Number of Documents,(Doc) Percentage
0,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",171.0,0.0151
1,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",697.0,0.0616
2,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",504.0,0.0445
3,25.0,"image, software, file, program, version, package, support, include, graphic, format",175.0,0.0155
4,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",156.0,0.0138
5,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",453.0,0.04
6,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",675.0,0.0597
7,25.0,"image, software, file, program, version, package, support, include, graphic, format",497.0,0.0439
8,31.0,"write, article, line, read, organization, post, mention, delete, net, wrong",211.0,0.0186
9,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",339.0,0.03
10,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",218.0,0.0193
11,24.0,"game, team, play, year, player, win, season, fan, run, score",76.0,0.0067
12,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",818.0,0.0723
13,24.0,"game, team, play, year, player, win, season, fan, run, score",387.0,0.0342
14,0.0,"good, thing, make, bad, lot, pretty, hear, hard, put, guy",298.0,0.0263
15,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",274.0,0.0242
16,15.0,"year, pay, cost, money, buy, make, price, company, market, service",185.0,0.0164
17,13.0,"gun, kill, fire, weapon, crime, criminal, firearm, shoot, people, police",428.0,0.0378
18,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",309.0,0.0273
19,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",58.0,0.0051
20,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",178.0,0.0157
21,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",115.0,0.0102
22,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",472.0,0.0417
23,14.0,"israeli, state, war, attack, give, country, land, jewish, peace, people",378.0,0.0334
24,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",978.0,0.0864
25,3.0,"question, claim, true, reason, answer, argument, make, evidence, truth, fact",466.0,0.0412
26,8.0,"law, state, people, person, public, vote, government, individual, issue, bill",388.0,0.0343
27,10.0,"people, life, man, child, make, love, time, die, live, woman",111.0,0.0098
28,24.0,"game, team, play, year, player, win, season, fan, run, score",219.0,0.0194
29,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",194.0,0.0171
